stage,team_name_home,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away
 Final , Argentina ,40%,60%,6,13,2,2,47%,53%
 Match for third place , Colombia ,45%,55%,12,10,6,3,55%,46%
 Semi-finals , Argentina ,49%,51%,13,14,4,4,53%,47%
 Semi-finals , Brazil ,56%,44%,15,7,8,2,55%,45%
 Quarter-finals , Argentina ,46%,54%,21,10,8,2,52%,48%
 Quarter-finals , Uruguay ,49%,51%,7,9,3,3,53%,47%
 Quarter-finals , Brazil ,41%,59%,10,11,5,5,50%,50%
 Quarter-finals , Peru ,55%,45%,12,14,5,8,44%,56%
 Group stage: Matchday 5 , Uruguay ,48%,52%,18,4,6,0,57%,43%
 Group stage: Matchday 5 , Bolivia ,32%,68%,5,18,2,13,42%,58%
 Group stage: Matchday 5 , Venezuela ,43%,57%,10,12,3,4,45%,55%
 Group stage: Matchday 5 , Brazil ,62%,38%,6,8,3,3,64%,36%
 Group stage: Matchday 4 , Chile ,69%,31%,5,7,1,3,41%,59%
 Group stage: Matchday 4 , Bolivia ,48%,52%,4,22,3,7,39%,61%
 Group stage: Matchday 4 , Brazil ,70%,30%,15,3,4,2,52%,48%
 Group stage: Matchday 4 , Ecuador ,58%,42%,16,7,6,4,54%,47%
 Group stage: Matchday 3 , Argentina ,43%,57%,9,10,4,2,57%,43%
 Group stage: Matchday 3 , Uruguay ,55%,45%,17,7,5,1,51%,50%
 Group stage: Matchday 3 , Colombia ,59%,41%,12,11,4,3,63%,37%
 Group stage: Matchday 3 , Venezuela ,31%,69%,9,19,3,7,49%,51%
 Group stage: Matchday 2 , Argentina ,45%,55%,9,4,6,0,58%,42%
 Group stage: Matchday 2 , Chile ,62%,38%,18,10,11,3,51%,49%
 Group stage: Matchday 2 , Brazil ,55%,45%,17,7,9,2,53%,47%
 Group stage: Matchday 2 , Colombia ,65%,35%,23,2,8,0,57%,43%
 Group stage: Matchday 1 , Paraguay ,78%,22%,34,4,11,2,63%,37%
 Group stage: Matchday 1 , Argentina ,48%,52%,18,5,5,4,61%,39%
 Group stage: Matchday 1 , Colombia ,41%,59%,5,8,2,2,49%,52%
 Group stage: Matchday 1 , Brazil ,62%,38%,18,3,7,1,55%,46%
